type,buyAmount,buyCurrency,sellAmount,sellCurrency,sellFee,sellFeeCurrency,exchange,group,comment,date
"Trade","0.43214642","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T20:55:41.000Z"
"Trade","0.49605072","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-27T16:09:10.000Z"
"Trade","0.5524528200000001","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:13:15.000Z"
"Trade","1.0001695899999998","ETOMIC","10.02288288","BEER","0.01288288","BEER","BarterDex Trades","","","2018-03-27T09:35:10.000Z"
"Trade","0.5524474","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:06:53.000Z"
"Trade","1.27315142","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T17:24:13.000Z"
"Trade","0.60043027","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:35:41.000Z"
"Trade","1.8013652599999999","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:13:15.000Z"
"Trade","0.49628388","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-28T13:06:08.000Z"
"Trade","0.6002296800000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:33:18.000Z"
"Trade","0.5523714900000001","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:11:08.000Z"
"Trade","0.55252875","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:06:48.000Z"
"Trade","1.0004367699999999","ETOMIC","10.02288288","BEER","0.01288288","BEER","BarterDex Trades","","","2018-03-15T15:42:18.000Z"
"Trade","0.55225225","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-21T22:47:37.000Z"
"Trade","0.6005542300000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:15:56.000Z"
"Trade","0.36010395","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T16:00:40.000Z"
"Trade","50.00403652999999","ETOMIC","501.14414414","BEER","0.64414414","BEER","BarterDex Trades","","","2018-03-18T14:47:41.000Z"
"Trade","2.9866578","ETOMIC","29.90828252","BEER","0.03844252","BEER","BarterDex Trades","","","2018-03-13T13:59:29.000Z"
"Trade","10.00853122","ETOMIC","100.22882881999999","BEER","0.12882882","BEER","BarterDex Trades","","","2018-03-15T11:01:34.000Z"
"Trade","0.4402989","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T15:24:05.000Z"
"Trade","0.36027542","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T11:46:18.000Z"
"Trade","4.93212224","ETOMIC","49.39276684","BEER","0.06348684","BEER","BarterDex Trades","","","2018-03-18T11:45:02.000Z"
"Trade","3.0025522","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:26:38.000Z"
"Trade","1.88909222","ETOMIC","18.923202879999998","BEER","0.02432288","BEER","BarterDex Trades","","","2018-03-18T11:51:09.000Z"
"Trade","0.43237431","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T21:02:56.000Z"
"Trade","0.60023557","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:15:58.000Z"
"Trade","0.36007947","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T13:00:14.000Z"
"Trade","2.39416074","ETOMIC","23.97473585","BEER","0.03081585","BEER","BarterDex Trades","","","2018-03-15T14:45:22.000Z"
"Trade","3.00129608","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:27:42.000Z"
